Author,Date,Title,Source,Vol.,No.,pp.,Category,URL
R. Fanou; V. Sanchez-Aguero; F. Valera; M. Mwangi; J. Coffin,2019-12-17,A system for profiling the IXPs in a region and monitoring their growth: Spotlight at the internet frontier,International Journal of Network Management,,,,Peer,
Y. Liu; S. Zhang; H. Zhu; P. Wan; L. Gao; Y. Zhang,2019-12-13,An Enhanced Verifiable Inter-domain Routing Protocol Based on Blockchain,International Conference on Security and Privacy in Communication Systems,,,63-82,Conference Paper,
C. Phung; B. F. Silva; M. Nogueira; S. Secci,2019-12-09,MPTCP robustness against large-scale man-in-the-middle attacks,Computer Networks,164,,,Peer,
M. Karimi; A. Jahanshahi; A. Mazloumi; H. Z. Sabzi,2019-12-09,Border Gateway Protocol Anomaly Detection Using Neural Network,2019 IEEE International Conference on Big Data (Big Data),,,,Conference Paper,
O. Fonseca; I. Cunha; E. Fazzion; B. Junior; R. A. Ferreira; E. Katz-Bassett,2019-12-09,Tracking Down Sources of Spoofed IP Packets,CoNEXT '19 Companion: Proceedings of the 15th International Conference on emerging Networking EXperiments and Technologies,,,51-53,Conference Paper,
W. Li; D. Li; X. Liu; T. Huang; X. Li; X. Le; W. Le; H. Li,2019-12-09,A power-saving pre-classifier for TCAM-based IP lookup,Computer Networks,164,,,Conference Paper,
N. Takbiri; X. Shao; L. Gao; H. Pishro-Nik,2019-12-05,Improving Privacy in Graphs Through Node Addition,2019 57th Annual Allerton Conference on Communication, Control, and Computing (Allerton),,,,Conference Paper,
G. Feng; S. Seshan; P. Steenkiste,2019-12-03,UNARI: an uncertainty-aware approach to AS relationships inference,CoNEXT '19: Proceedings of the 15th International Conference on Emerging Networking Experiments And Technologies,,,272-284,Conference Paper,
KC Claffy; D. Clark,2019-11-08,The 11th workshop on active internet measurements (AIMS-11) workshop report,ACM SIGCOMM Computer Communication Review,49,3,39-43,Conference Paper,
R. Bian; S. Hao; H. Wang; A. Dhamdere; A. Dainotti; C. Cotton,2019-11-08,Towards passive analysis of anycast in global routing: unintended impact of remote peering,ACM SIGCOMM Computer Communication Review,49,3,18-25,Peer,
H. Birge-Lee; L. Wang; J. Rexford; P. Mittal,2019-11-06,SICO: Surgical Interception Attacks by Manipulating BGP Communities,Proceedings of the 2019 ACM Conference on Computer and Communications Security (CCS '19),,,431-448,Conference Paper,
M. Luckie; R. Beverly; R. Koga; K. Keys; J. A. Kroll; KC Claffy,2019-11-06,Network Hygiene, Incentives, and Regulation: Deployment of Source Address Validation in the Internet,CCS '19: Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communications Security,,,465-480,Conference Paper,
A. Horn; A. Kheradmand; M. Prasad,2019-10-31,A Precise and Expressive Lattice-theoretical Framework for Efficient Network Verification,2019 IEEE 27th International Conference on Network Protocols (ICNP),,,,Conference Paper,
L. Jin; S. Hao; H. Wang; C. Cotton,2019-10-31,Unveil the Hidden Presence: Characterizing the Backend Interface of Content Delivery Networks,2019 IEEE 27th International Conference on Network Protocols (ICNP),,,,Conference Paper,
T. Cui; C. Liu; G. Gou; J. Shi; G. Xiong,2019-10-29,A Comprehensive Study of Accelerating IPv6 Deployment,2019 IEEE 38th International Performance Computing and Communications Conference (IPCCC),,,,Conference Paper,
Y. Yang; X. Yin; X. Shi; Z. Wang; J. He; T. Z. J. Fu; M. Winslett,2019-10-24,Inter-domain routing bottlenecks and their aggravation,Computer Networks,162,,,Peer,
B. Yeganeh; R. Durairajan; R. Rejaie; W. Willinger,2019-10-21,How Cloud Traffic Goes Hiding: A Study of Amazon's Peering Fabric,IMC '19: Proceedings of the Internet Measurement Conference,,,202-216,Conference,
C. Testart; P. Richter; A. King; A. Dainotti; D. Clark,2019-10-21,Profiling BGP Serial Hijackers: Capturing Persistent Misbehavior in the Global Routing Table,Profiling BGP Serial Hijackers: Capturing Persistent Misbehavior in the Global Routing Table,,,420-434,Conference Paper,
J. Naab; P. Sattler; J. Jelten; O. Gasser; G. Carle,2019-10-21,Prefix Top Lists: Gaining Insights with Prefixes from Domain-based Top Lists on DNS Deployment,IMC '19: Proceedings of the Internet Measurement Conference,,,351-357,Conference Paper,
T. Chung; E. Aben; T. Bruijnzeels; B. Chandrasekaran; D. Choffnes; D. Levin; B. M. Maggs; A. Mislove; R. van Rijswijk-Deij; J. Rula; N. Sullivan,2019-10-21,RPKI is Coming of Age: A Longitudinal Study of RPKI Deployment and Invalid Route Origins,IMC '19: Proceedings of the Internet Measurement Conference,,,406-419,Conference Paper,
A. Garcia-Martinez; M. Bagnulo;,2019-10-07,Measuring BGP Route Propagation Times, IEEE Communications Letters,23,12,,Conference Paper,
S. McQuistin; S. P. Uppu; M. Flores,2019-10-01,Taming Anycast in the Wild Internet,IMC '19: Proceedings of the Internet Measurement Conference,,,165-178,Conference Paper,
O. S. Alkadi; N. Moustafa; B. Turnbull; K. R. Choo,2019-09-26,An Ontological Graph Identification Method for Improving Localization of IP Prefix Hijacking in Network Systems,IEEE Transactions on Information Forensics and Security,15,,1164-1174,Conference Paper,
S. Ahn; Y. Seo; J. Shin,2019-09-25,Deep Auto-Deferring Policy for Combinatorial Optimization,ICLR 2020,,,,Conference Paper,
G. Carofiglio; L. Muscariello; J. Auge; M. Papalilni; M. Sardara; A. Compagno,2019-09-24,Enabling ICN in the Internet Protocol: Analysis and Evaluation of the Hybrid-ICN Architecture,ICN '19: Proceedings of the 6th ACM Conference on Information-Centric Networking,,,,Conference Paper,
L. Ting; D. Qin,2019-09-13,Experimental Research on Internet Ecosystem and AS Hierarchy,International Conference of Pioneering Computer Scientists, Engineers, and Educators (ICPCSEE 2019): Data Science,1058,,253-263,Conference Paper,
H. S. Joghan; A. Bagheri; M. Azad,2019-09-03,Weighted label propagation based on Local Edge Betweenness,The Journal of Supercomputing,75,,8094-8114,Conference Paper,
E. Carisimo; C. Selmo; J. I. Alvarez-Hamelin; A. Dhamdhere,2019-09-01,Studying the evolution of content providers in IPv4 and IPv6 internet cores,Computer Communications,145,,54-56,Peer,
P. Moriano; R. Hill; L. J. Camp,2019-08-28,Using Bursty Announcements for Early Detection of BGP Routing Anomalies,Indiana University,,,,Peer,
A. Funel,2019-08-26,The Graph Structure of the Internet at the Autonomous Systems Level during Ten Years,Cornell University,,,,Peer,
MD. I. Islam; J. I. Khan,2019-08-22,SAIL Based FIB Lookup in a Programmable Pipeline Based Linux Router,2019 IEEE 20th International Conference on High Performance Switching and Routing (HPSR),,,,Conference Paper,
K. Bakhshaliyev; M. A. Canbaz; M. H. Gunes,2019-08-20,Investigating Characteristics of Internet Paths,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,4,3,1-24,Conference Paper,
A. Altaweel; R. Stoleru; G. Gu; A. K. Maity,2019-08-19,CollusiveHijack: A New Route Hijacking Attack and Countermeasures in Opportunistic Networks,2019 IEEE Conference on Communications and Network Security (CNS),,,,Conference Paper,
W. B. de Vries; R. van Rijswijk-Deij; P. de Boer; A. Pras,2019-08-19,Passive Observations of a Large DNS Service: 2.5 Years in the Life of Google,IEEE Transactions on Network and Service Management,17,1,,Conference Paper,
Y. Jin; S. Renganathan; G. Ananthanarayanan; J. Jiang; V. N. Padmanabhan; M. Schroder; M. Calder; A. Krishnamurthy,2019-08-19,Zooming in on wide-area latencies to a global cloud provider,SIGCOMM '19: Proceedings of the ACM Special Interest Group on Data Communication,,,104-116,Conference Paper,
P. Fika; M. Mitrouli,2019-08-01,Fast estimates for the diagonal of the inverse of large scale matrices appearing in applications,Journal of Computational and Applied Mathematics,355,,91-105,Peer,
D. Chen; Y. Ba; H. Qui; J. Zhu; Q. Wang,2019-07-30,ISRchain: Achieving efficient interdomain secure routing with blockchain,Computers and Electrical Engineering,83,,,Peer,
T. Tang; G. Hu,2019-07-11,An Evolving Network Model Based on a Triangular Connecting Mechanism for the Internet Topology,International Conference on Artificial Intelligence and Security,,,510-519,Conference Paper,
Z. Zeng; J. Zhu; H. Qiu; T. Zhou,2019-07-10,SM-RC: A New Security Measurement Method for Inter-Domain Routing System,IEEE Access,7,,,Peer,
Q. Xiang; J. J. Zhang; X. T. Wang; Y. J. Liu; C. Guok; F. Le; J. MacAuley; H. Newman; Y. Richard,2019-07-05,Toward Fine-Grained, Privacy-Preserving, Efficient Multi-Domain Network Resource Discovery,IEEE Journal on Selected Areas in Communications,37,,,Conference Paper,
K. G. Leyba; B. Edwards; C. Freeman; J. R. Crandall; S. Forrest,2019-07-03,Borders and Gateways: Measuring and Analyzing National AS Chokepoints,COMPASS '19,,,,Conference Paper,
B. Z. H. Zhao; M. Ikram; H. J. Asghar; M. A. Kaafar; A. Chaabane; K. Thilakarathna,2019-07-02,A Decade of Mal-Activity Reporting: A Retrospective Analysis of Internet Malicious Activity Blacklists,Asia CCS '19: Proceedings of the 2019 ACM Asia Conference on Computer and Communications Security,,,193-205,Conference Paper,
L. Dos Santos Leal,2019-07-01,A Characterization of the AS-Path prepending usage as a traffic engineering tool on the Internet,Universidade Federal Do Rio Grande Do Sul Instituto De Informatica Curso De Ciencia Da Computacao,,,,Peer,
G. I. Savin; B. M. Shabanov; A. A. Sher; A. P. Ovsyannikov,2019-06-24,On the Growth of the Number of Announced Subnets in the Global Routing Table,Lobachevskii Journal of Mathematics,40,,574-579,Peer,
H. Asai,2019-06-24,Deep Pipelining: Efficient Pipelining of Network Function Chains with Coroutines,2019 IEEE Conference on Network Softwarization (NetSoft),,,,Conference Paper,
A. Guillot; R. Fontugne; P. Winter; P. Merindol; A. King; A. Dainotti; C. Pelsser,2019-06-19,Chocolatine: Outage Detection for Internet Background Radiation,2019 Network Traffic Measurement and Analysis Conference (TMA),,,,Conference Paper,
P. Winter; R. Padmanabhan; A. King; A. Dainotti,2019-06-19,Geo-locating BGP prefixes,2019 Network Traffic Measurement and Analysis Conference (TMA),,,,Conference Paper,
A. Milolidakis; R. Fontugne; X. Dimitropoulos,2019-06-17,Detecting Network Disruptions At Colocation Facilities,IEEE INFOCOM 2019 - IEEE Conference on Computer Communications,,,,Conference,
I. Sfirakis; V. Kotronis,2019-06-07,Validating IP Prefixes and AS-Paths with Blockchains,Cornell University,,,,Peer,
M. Tran; M. S. Kang; H. Hsiao; W. Chiang; S. Tung; Y. Wang,2019-05-19,On the Feasibility of Rerouting-Based DDoS Defenses,2019 IEEE Symposium on Security and Privacy (SP),,,,Conference Paper,
T. Liu; J. C. S. Lui; D. Lin; D. Hui,2019-05-15,On the Feasibility of Inter-Domain Routing via a Small Broker Set,IEEE Transactions on Parallel and Distributed Systems,30,2,415-427,Conference Paper,
G. Feng; S. Seshan; P. Steenkiste,2019-05-07,PARI: A Probabilistic Approach to AS Relationships Inference,Cornell University,,,,Peer,
C. Seguin; E. Caron; S. Dubus,2019-05-03,SeeDep: Deploying Reproducible Application Topologies on Cloud Platform,CLOSER 2019 - 9th International Conference on Cloud Computing and Services Science,,,363-370,Conference Paper,
J. Li; H. Luo; S. Zhang; H. Li; F. Yan,2019-05-01,Design and implementation of efficient control for incoming inter-domain traffic with Information-Centric Networking,Journal of Network and Computer Applications,133,,109-125,Peer,
K. McGlynn; H. B. Acharya; M. Kwon,2019-04-29,Detecting BGP Route Anomalies with Deep Learning,IEEE INFOCOM 2019 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,,,Conference Paper,
M. Syamkumar; S. K. Mani; R. Durairajan; P. Barford; J. Sommers,2019-04-25,Wrinkles in Time: Detecting Internet-wide Events via NTP,2018 IFIP Networking Conference (IFIP Networking) and Workshops,,,,Conference Paper,
V. Kirilin; S. Gorinsky,2019-04-25,A Protocol-Ignorance Perspective on Incremental Deployability of Routing Protocols,2018 IFIP Networking Conference (IFIP Networking) and Workshops,,,,Conference Paper,
M. D. Bartolomeo; V. D. Donato; M. Pizzonia; C. Squarcella; M. Rimondini,2019-04-24,Extracting Routing Events From Traceroutes: A Matter of Empathy,IEEE/ACM Transactions on Networking,27,3,,Conference Paper,
B. Jonynas,2019-04-22,Compact Routing for Today's Internet,University of Glasgow,,,,Peer,
J. Holland; J. Smith; M Schuchard,2019-04-20,Measuring Irregular Geographic Exposure on the Internet,Cornell University,,,,Peer,
C. Deccio,2019-04-11,DNS Diagnostics through the Eye of the Beholder,2019 International Conference on Computing, Networking and Communications (ICNC),,,,Conference Paper,
A. Wang; Z Chen; T. Yang; M. Yu,2019-04-03,Enabling Policy Innovation in Interdomain Routing: A Software-Defined Approach,Enabling Policy Innovation in Interdomain Routing: A Software-Defined Approach,,,,Conference Paper,
R. Fontugne; E. Bautista; C. Petrie; Y. Nomura; P. Abry; P. Goncalves; K. Fukuda; E. Aben,2019-03-19,BGP Zombies: An Analysis of Beacons Stuck Routes,International Conference on Passive and Active Network Measurement,,,197-209,Peer,
Q. Xiang; J. J. Zhang; X. T. Wang; Y. J. Liu; C. Guok,2019-03-14,Fine-Grained, Multi-Domain Network Resource Abstraction as a Fundamental Primitive to Enable High-Performance, Collaborative Data Sciences,SC18: International Conference for High Performance Computing, Networking, Storage and Analysis,,,,Conference Paper,
B. Teganeh,2019-03-01,On Measuring Internet Topology & its Applications,University of Oregon,,,,Peer,
M. Trevisan,2019-02-28,Big Data for Traffic Monitoring and Management,Cornell University,,,,Peer,
C. Lui; Q. Kang; H. Kong; W. Li; Y. Kang,2019-02-20,An iterated local search algorithm for community detection in complex networks,International Journal of Modern Physics B,34,4,,Peer,
N. Elamathi; S. Jarashri; R. Pitchai,2019-02-20,Enhanced secure communication over inter-domain routing in heterogeneous wireless networks based on analysis of BGP anomalies using soft computing techniques,,23,,2735-2746,Peer,
A. Dwaraki; R. Freedman; S. Zilberstein; T. Wolf,2019-02-18,Using Natural Language Constructs and Concepts to Aid Network Management,2019 International Conference on Computing, Networking and Communications (ICNC),,,,Conference Paper,
A. Shanghaghi; S. S. Kanhere; M. A. Kaafar; E. Bertino; S. Jha,2019-02-10,Gargoyle: A Network-based Insider Attack Resilient Framework for Organizations,2018 IEEE 43rd Conference on Local Computer Networks (LCN),,,,Conference Paper,
KC Claffy; D. Clark,2019-01-28,The 10th workshop on active internet measurements (AIMS-10) report,ACM SIGCOMM Computer Communication Review,48,5,41-47,Conference Paper,
C. Zhang; Y. Feng; H. Song; Y. Wan; W. Xu; Y. Wang; H. Dai; Y. Li; B. Lin,2019-01-24,OBMA: Minimizing Bitmap Data Structure with Fast and Uninterrupted Update Processing,2018 IEEE/ACM 26th International Symposium on Quality of Service (IWQoS),,,,Conference Paper,
T. L. M. Brands,2019-01-15,Proactive Domain Abuse Warning and Notification System (PaDAWaNS),Delft University of Technology,,,,Peer,
N. N. R. Suri; N. M. M.; G. Athithan,2019-01-11,Mining Anomalies in Graph Data,Outlier Detection: Techniques and Applications,,,135-158,Peer,
H. Wang; C. Qian,2019-01-01,Enhancing Automated Network Management,UC Santa Cruz,,,,Peer,
L. Zhihao,2019-01-01,Diagnosing and Improving the Performance of Internet Anycast,University of Maryland,,,,Peer,
M. Alexander,2019-01-01,Sharp Snapshots of the Internet's Graph with HONE,University of Pennsylvania,,,,Peer,
P. Edwards; L. Cheng; G. Kadam;,2019-01-01,Border Gateway Protocol Anomaly Detection Using Machine Learning Techniques,SMU Data Science Review,2,1,,Peer,
T. Holterbach; E. C. Molero; M. Apostalaki; S. Vissicchino; L. Vanbever,2019-01-01,Blink: Fast Connectivity Recovery Entirely in the Data Plane,NSDI '19,,,,Conference Paper,
X. Dai; N. Wang; W. Wang,2019-01-01,Application of machine learning in BGP anomaly detection,Journal of Physics: Conference Series,1176,3,,Conference Paper,
Y. Jin; C. Scott; A. Dhamdhere; V. Giotsas; A. Krishnamurthy; S. Shenker,2019-01-01,Stable and Practical AS Relationship Inference with ProbLink,NSDI '19,,,,Conference,
Y. Nomura,2019-01-01,Detecting BGP zombies and inferring their source,The University of Tokyo,,,,Master Thesis,
Tony M. Tung; C. Weng,2018-12-18,Understanding the Behaviors of BGP-based DDoS Protection Services,International Conference on Network and System Security,,,,Conference Paper,
N. Sun; J. Zhang; P. Rimba; S. Gao; L. Y. Zhang; Y. Xiang,2018-12-07,Data-Driven Cybersecurity Incident Prediction: A Survey,IEEE Communications Surveys & Tutorials,21,2,,Peer,
Q. Li,2018-12-07,Understanding the causal impact of the video delivery throughput on user engagement,Multimedia Tools and Applications,78,,15589-15604,Conference Paper,
M. Trevisan; D. Giordano; I. Drago; M. Mellia; M. Munafo,2018-12-04,Five years at the edge: watching internet from the ISP network,CoNEXT '18: Proceedings of the 14th International Conference on emerging Networking EXperiments and Technologies,,,1-12,Conference Paper,
T. Hoiland-Jorgensen; J. D. Brouer; D. Borkmann; J. Fastabend; T. Herbert; D. Ahern; D. Miller,2018-12-04,The eXpress data path: fast programmable packet processing in the operating system kernel,CoNEXT '18: Proceedings of the 14th International Conference on emerging Networking EXperiments and Technologies,,,54-66,Conference Paper,
D. Qin; J. Yang; T. Lv,2018-11-27,Incentive Driving Multipath Inter-Domain Routing,2018 Sixth International Symposium on Computing and Networking Workshops (CANDARW),,,,Conference paper,
C. Hong; K. Lee; J. Hwang; H. Park; C. Yoo,2018-11-20,Kafe: Can OS Kernels Forward Packets Fast Enough for Software Routers?,IEEE/ACM Transactions on Networking,26,6,,Conference Paper,
Y. Gilad; T. Hlavacek; A. Herzberg; M. Schapira; H. Shulman,2018-11-05,Perfect is the Enemy of Good: Setting Realistic Goals for BGP Security,HotNets '18: Proceedings of the 17th ACM Workshop on Hot Topics in Networks,,,57-63,Conference Paper,
A. Shaghaghi; S. S. Kanhere; M. A. Kaafar; S. Jha,2018-11-01,Gwardar: Towards Protecting a Software-Defined Network from Malicious Network Operating Systems,2018 IEEE 17th International Symposium on Network Computing and Applications (NCA),,,,Conference Paper,
A. Marder; M. Luckie; A. Dhamdhere; B. Huffaker; KC Claffy; J. M. Smith,2018-10-31,Pushing the Boundaries with bdrmapIT: Mapping Router Ownership at Internet Scale,IMC '18: Proceedings of the Internet Measurement Conference 2018,,,56-69,Conference Paper,
M. Jonker; A. Pras; A. Dainotti; A. Sperotto,2018-10-31,A First Joint Look at DoS Attacks and BGP Blackholing in the Wild,Proceedings of the Internet Measurement Conference 2018 (IMC '18),,,457-463,Conference Paper,
P. Ritcher; R. Padmanabhan; N. Spring; A. Berger; D. Clark,2018-10-31,Advancing the Art of Internet Edge Outage Detection,IMC '18: Proceedings of the Internet Measurement Conference 2018,,,350-363,Conference Peer,
Q. Scheitle; O. Hohlfeld; J. Gamba; J. Jelten; T. Zimmerman; S. D. Strowes; N. Vallina-Rodriguez,2018-10-31,A Long Way to the Top: Significance, Structure, and Stability of Internet Top Lists,IMC '18: Proceedings of the Internet Measurement Conference 2018,,,,Conference Peer,
R. Beverly; R. Drairajan; D. Plonka; J. P. Rohrer,2018-10-31,In the IP of the Beholder: Strategies for Active IPv6 Topology Discovery,IMC '18: Proceedings of the Internet Measurement Conference 2018,,,308-321,Conference Paper,
E. Carisimo; C. Selmo; J. I. Alvarez-Hamelin; A. Dhamdhere,2018-10-25,Studying the Evolution of Content Providers in the Internet Core,2018 Network Traffic Measurement and Analysis Conference (TMA),,,,Conference Paper,
T. Bottger; G. Antichi; E. L. Frnandes; R. di Lallo; M. Bruyere; S. Uhlig; G. Tyson; I. Castro,2018-10-25,Shaping the Internet: 10 Years of IXP Growth,Cornell University,,,,Peer,
D. Qin; J. Yang; L. Ge,2018-10-11,User-Customizing Oriented Multipath Inter-Domain Routing,2018 IEEE International Conference on Networking, Architecture and Storage (NAS),,,,Conference Paper,
D. Kiedanski; E. Grampin; J. I. Alvarez-Hamelin,2018-10-03,The Atlas Vision of IPv6 in Latin America: Topology and Latency,LANC '18: Proceedings of the 10th Latin America Networking Conference,,,,Conference Paper,
F. Streilbelt; F. Lichtblau; R. Beverly; A. Feldmann; C. Pelsser; G. Smaragdakis; R. Bush,2018-10-01,BGP Communities: Even more Worms in the Routing Can,Proceedings of the Internet Measurement Conference 2018 (IMC '18),,,,Conference Paper,
T. Bottger; F. Cuadrado; S. Uhlig,2018-09-07,Looking for hypergiants in peeringDB,ACM SIGCOMM Computer Communication Review,48,3,14-19,Conference Paper,
L. Viennot; Y. Boufkhad; L. Linguaglossa; F. Mathieu; D. Perino,2018-09-06,Efficient Loop Detection in Forwarding Networks and Representing Atoms in a Field of Sets,Cornell University,,,,Peer,
P. Mell; A. Gueye; C. Schanzle,2018-09-06,Quantifying Information Exposure in Internet Routing,2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/ 12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE),,,,Conference Paper,
Y. Boufkhad; L. Linguaglossa; F. Mathieu; D. Perino; L. Viennot,2018-09-05,Efficient Loop Detection in Forwarding Networks and Representing Atoms in a Field of Sets,HAL-Inria,,,,Peer,
E. Yuce; A. A. Selcuk,2018-09-01,Server notaries: a complementary approach to the web PKI trust model,IET Information Security,12,5,455-461,Peer,
J. Jin,2018-08-27,BGP Route Leak Prevention Based on BGPsec,2018 IEEE 88th Vehicular Technology Conference (VTC-FALL),,,,Conference Paper,
I. Livadariu; A. Elmokashfi; A. Dhamdhere,2018-08-21,Measuring IPv6 Adoption in Africa,International Conference on e-Infastructure and e-Services for Developing Countries (AFRICOMM 20177),,,345-351,Conference Paper,
D. D. Clark; A. D. Dhamdhere; KC Claffy,2018-08-15,Policy Implications of Third-Party Measurement of Interdomain Congestion on the Internet,TPRC 46: The 46th Research Conference on Communication, Information, and Internet Policy 2018,,,,Conference Paper,
L. Marzialetti; M. Candela; G. D. Battista,2018-08-13,Upstream Visibility: A Multi-View Routing Visualization,VINCI '18: Proceedings of the 11th International Symposium on Visual Information Communication and Interaction,,,80-87,Conference Paper,
S. Katkuri,2018-08-10,A survey of data transfer and storage techniques in prevalent cryptocurrencies and suggested improvements,Cornell University,,,,Peer,
C. Mahmoudi; F. Mourlin,2018-08-09,MOCP: An Offloading Protocol for Mobile Cloud and IoT virtualization,2018 International Conference on Selected Topics in Mobile and Wireless Networking (MoWNeT),,,,Conference Paper,
F. Wohlfart; N. Chatzis; C. Dabanoglu; G. Carle; W. Willinger,2018-08-07,Leveraging interconnections for performance: the serving infrastructure of a large CDN,SIGCOMM '18: Proceedings of the 2018 Conference of the ACM Special Interest Group on Data Communication,,,,Conference Paper,
M. Luckie; R. Beverly,2018-08-07,The Impact of Router Outages on the AS-level Internet,Proceedings of the Conference of the ACM Special Interest Group on Data Communication (SIGCOMM '17),,,488-501, “,
M. A. Canbaz,2018-08-01,Internet Topology Mining: From Big Data to Network Science,University of Reno, Nevada,,,,Peer,
D. Hauweele; B. Quoitin; C. Pelsser; R. Bush,2018-07-27,What do parrots and BGP routers have in common?,ACM SIGCOMM Computer Communication Review,46,3,1-6,Conference Paper,
KC Claffy; D. Clark,2018-07-27,Workshop on internet economics (WIE2015) report,ACM SIGCOMM Computer Communication Review,46,3,,Conference Paper,
G. Grigoryan; Y. Liu,2018-07-23,PFCA: a programmable FIB caching architecture,ANCS '18: Proceedings of the 2018 Symposium on Architectures for Networking and Communications Systems,,,,Conference Paper,
L. Jin; S. Hao; H. Wang; C. Cotton,2018-07-23,Your Remnant Tells Secret: Residual Resolution in DDoS Protection Services,2018 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),,,,Conference Paper,
T. Hlavacek; A. Herzberg; H. Shulman; M. Waidner,2018-07-23,Practical Experience: Methodologies for Measuring Route Origin Validation,2018 48th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),,,,Conference Paper,
B. Fabian; S. Kelkel; T. Ermakova; A. Baumann,2018-07-13,Attacking Internet Border Routers - A Graph-Based Analysis of Strategies,Social Science Research Network,,,,Peer,
C. Chen; D. E. Asoni; A. Perrig; D. Barrera; G. Danezis; C. Troncoso,2018-07-09,TARANET: Traffic-Analysis Resistant Anonymity at the Network Layer,2018 IEEE European Symposium on Security and Privacy (EuroS&P),,,,Conference Paper,
A. Dhamdhere; D. D. Clark; A. Gamero-Garrido; M. Luckie; R. K. P. Mok; G. Akiwate; K. Gogia; V. Bajpai; A. C. Snoeren; KC Claffy,2018-07-07,Inferring persistent interdomain congestion,SIGCOMM '18: Proceedings of the 2018 Conference of the ACM Special Interest Group on Data Communication,,,1-15,Conference Paper,
Z. Li; D. Levin; N. Spring; B. Bhattacharjee,2018-07-07,Internet anycast: performance, problems, & potential,SIGCOMM '18: Proceedings of the 2018 Conference of the ACM Special Interest Group on Data Communication,,,59-73,Conference Paper,
P. Fika,2018-07-06,Extrapolation Methods for Estimating the Trace of the Matrix Inverse,Modern Discrete Mathematics and Analysis,,,173-185,Peer,
L. Krohnke; J. Jansen; H. Vranken,2018-07-05,Resilience of the Domain Name System: A case study of the .nl-domain,Computer Networks,139,,136-150,Conference Paper,
S. Sarkar; S. Sidkar; S. Bhowmick; A. Mukherjee,2018-07-04,Using core-periphery structure to predict high centrality nodes in time-varying networks,Data Mining and Knowledge Discovery,32,,1368-1396,Peer,
G. Aceto; A. Botta; P. Marchetta; V. Persico; A. Pescape,2018-07-01,A comprehensive survey on internet outages,Journal of Network and Computer Applications,113,,36-63,Peer,
R. Noro,2018-06-25,Master thesis : Revisiting the BGP communities usage,Universite de Liege,,,,Peer,
P. Sermpezis; V. Kotronis;,2018-06-19,Inferring Catchment in Internet Routing,Proceedings of the ACM on Measurement and Analysis of Computing Systems,3,2,1-31,Conference Paper,
D. Gosain; A. Agarwal; S. Shekhawat; H. Acharya; S. Chakravarty,2018-06-01,Mending Wall: On the Implementation of Censorship in India,arXiv:1806.06518,,,,Peer,
H. Acharya; S. Chakravarty; D. Gosain,2018-06-01,Few Throats to Choke: On the Current Structure of the Internet,arXiv:1806.07038,,,,Peer,
R. Dahlberg; T. Pulls; J. Vestin; T. Hoiland-Jorgensen; A. Kassler,2018-06-01,Aggregation-Based Gossip for Certificate Transparency,arXiv:1806.08817,,,,Peer,
P. Batta; M. Singh; Z. Li; Q. Ding; L. Trajkovic,2018-05-27,Evaluation of Support Vector Machine Kernels for Detecting Network Anomalies,2018 IEEE International Symposium on Circuits and Systems (ISCAS),,,,Conference Paper,
J. P. Diamond,2018-05-01,The Effect of Modern Web Content and Caching on The Tor Onion Router,University of Tennessee,,,,Peer,
K. Merahmand; A. Bouyer; N. Samadi,2018-05-01,A new centrality measure based on the negative and positive effects of clustering coefficient for identifying influential spreaders in complex networks,Chaos, Solitons & Fractals,,,41-54,Conference Paper,
R. Beverly; R. Durairajan; D. Plonka; J. Rohrer,2018-05-01,In the IP of the Beholder: Strategies for Active IPv6 Topology Discovery,arXiv:1805.11308,,,,Peer,
A. Reuter; R. Bush; I. Cunha; E. Katz-Bassett; T. C. Schmidt; M. Wahlisch,2018-04-27,Towards a Rigorous Methodology for Measuring Adoption of RPKI Route Validation and Filtering,ACM SIGCOMM Computer Communication Review,48,1,19-27,Conference Paper,
D. Cicalese; D. Rossi,2018-04-27,A longitudinal study of IP Anycast,ACM SIGCOMM Computer Communication Review,48,1,10-18,Conference Paper,
O. Ding; Z. Li; S. Haeri,2018-04-24,Application of Machine Learning Techniques to Detecting Anomalies in Communication Networks: Datasets and Feature Selection Algorithms,Cyber Threat Intelligence,,,47-70,Peer,
J. Liu; C. Zheng; L. Guo; X. Liu; Q. Lu,2018-04-20,Evaluating routing asymmetry by passive flow measurements with spark,2018 IEEE 3rd International Conference on Cloud Computing and Big Data Analysis (ICCCBDA),,,,Conference Paper,
A. Y. Nur; M. E. Tozal,2018-04-16,Identifying critical autonomous systems in the Internet,The Journal of Supercomputing,74,,4965-4985 (2018),Peer,
I. Livadariu; K. Benson; A. Elmokashfi; A. Dhamdhere; A. Dainotti,2018-04-16,Inferring Carrier-Grade NAT Deployment in the Wild,IEEE Infocom 2018 - IEEE Conference on Computer Communications,,,,Conference Paper,
